"Key_site","Level_layer_concentration","TaxUnit","TaxUnit_unique","Timeslice","Long","Lat","Dating_BP","Dating_method","Dating_qual","Site_type","Site_strat","Ass_pos","Ass_coh","Site_fau","Site_excav","Key_references","Outline_AR_TS1","Outline_AR_TS2","Outline_AR_TS3","Outline_AR_TS4","Outline_ES_TS1","Outline_ES_TS2","Outline_ES_TS3","Outline_ES_TS4","Outline_BR_TS1","Outline_BR_TS2","Outline_BR_TS3","Outline_BR_TS4","Macro_region","Macro_region_code","Comments","Site_ID","quality_score","quality_rank"
"Mollehoje","NA","Brommean","Brom_SS",3,9.12,56.52,"13,000-12,700","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","1980-2000","Riede and Mork 2011","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Southern Scandinavia","SS","NA","NA",1,3
"Unken","Dunkle humose Schicht","Aziloid Alps","AzilTSG_ASH",4,12.730152,47.644134,"12,000-9,500","C14","Reliable","Rockshelter","Stratified","Secondary/relocated","Homogeneous","Preseved","1950-1980","Windisch 2014","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","Austria, Slovakia and Hungary","ASH","Finds are paritially in primary and partially in secondary find position. Position of sample for 14C-date was not documented.","Unken",3,2
"Elsbethen","Grabung 1: 2 / Grabung 2: 3a, 4a, 5a","Late Magdalenian","LMag_ASH",1,13.086104,47.763351,"15,000-14,000","Typology","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Rettenbacher 1998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Austria, Slovakia and Hungary","ASH","NA","Elsbethen",5,1
"Elsbethen","Grabung 1: 3a / Grabungs 2: 5b-6a","Aziloid Alps","AzilTSG_ASH",2,13.086104,47.763351,"14,000-13,000","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Rettenbacher 1998","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Austria, Slovakia and Hungary","ASH","NA","Elsbethen",5,1
"Gamssulzenhoehle","Rötlich-braunes Lehmband - ""Kulturschicht""","Aziloid Alps","AzilTSG_ASH",4,14.295717,47.679817,"12,000-11,000","C14","Problematic","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Kühtreiber and Kunst 1995","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Austria, Slovakia and Hungary","ASH","Radiocarbon-dating via faunal assemblage, not directly affiliated with artefacts.","Gamssulzen",4,2
"Unter den Seewaenden","1 Fundhorizont: Mischung aus Sediment 4 und 7","Aziloid Alps","AzilTSG_ASH",23,10.592923,47.571749,"14,000-12,000","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Gehlen 2001","NA","x","x","NA","NA","x","x","NA","NA","x","x","NA","Austria, Slovakia and Hungary","ASH","NA","Seewaende",5,1
"Altwasserhoehle","OK Schicht C; UK Schicht B","Epigravettiano recente","REpigrav_ASH",4,9.476824,47.282723,"12,000-11,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Jagher et al. 1997","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","Austria, Slovakia and Hungary","ASH","Site with no cores","Altwasser",5,1
"Kamegg","Verfüllungs Hallstattzeitliche Grube","Aziloid - Tradition Eastern Central Europe","AzilTECE_ASH",234,15.65832,48.61153,"14,000-11,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Nutz 2006,Schwarz 2007","NA","x","x","x","NA","x","x","x","NA","x","x","x","Austria, Slovakia and Hungary","ASH","NA","Kamegg",0,3
"Horn-Galgenberg","Sandige Verfüllschicht flacher Mulden","Aziloid - Tradition Eastern Central Europe","AzilTECE_ASH",234,15.67763,48.66015,"14,000-11,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Antl-Wieser 1986","NA","x","x","x","NA","x","x","x","NA","NA","NA","NA","Austria, Slovakia and Hungary","ASH","NA","Galgenberg",0,3
"Zöld Cave","Layer 3","Late Epigravettian","LEpigrav_ASH",1,18.984693,47.622886,"16,000-14,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Beres et al. 2020","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Austria, Slovakia and Hungary","ASH","NA","Zoeld",6,1
