"","Timeslice","TaxUnit","Region","Site","ShortImageRef","ToolClass","KnappingDirection","IMAGE","ARTEFACTNAME","SCALE","Timeslice_range_from","Timeslice_range_to","Long","Lat","length_cm","width_cm","area_cm2","perimeter_cm","calliper_cm","circularity","eccentricityeigen","AD","BC","amp","sym"
"1","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR","D","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_1","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_1_pseudo_no_1",0.013158,"1","1",18.740335,47.785698,11.42,2.36,15.94,24.25,11.42,2,0.05,0.168305467384853,2.13253846628445,2.3008439336693,0.0731494496093203
"2","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR","D","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_1",0.013966,"1","1",18.740335,47.785698,6.23,1.56,6.88,13.55,6.23,2.33,0.09,0.502923738123168,2.12202236132677,2.62494609944994,0.191593929577661
"3","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR","D","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_2",0.013966,"1","1",18.740335,47.785698,6.36,1.15,5.86,13.84,6.36,2.08,0.06,0.446916760635257,2.01733224165224,2.46424900228749,0.181360227891092
"4","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR","D","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_3",0.013966,"1","1",18.740335,47.785698,5.53,1.64,7.25,12.7,5.53,2.51,0.13,0.21377236915545,2.18481004863417,2.39858241778962,0.0891244626701002
"5","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR","D","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_4",0.013966,"1","1",18.740335,47.785698,3.96,0.87,2.11,8.59,3.96,2.03,0.05,0.243645237013261,2.13470501982637,2.37835025683963,0.10244295864858
"6","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR","D","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_5",0.013966,"1","1",18.740335,47.785698,2.51,1.11,2.32,6.39,2.52,3.27,0.26,0.516440998255051,2.17106124609336,2.68750224434841,0.192163931896646
"7","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR","D","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_6",0.013966,"1","1",18.740335,47.785698,2.23,0.83,1.47,5.54,2.23,2.84,0.19,0.919361820904025,2.10571066807273,3.02507248897675,0.303913980327461
"8","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR",NA,"TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1_pseudo_no_1",0.009141,"1","1",18.740335,47.785698,6.7,1.47,7.41,14.6,6.71,2.23,0.08,0.0958327864244387,2.16303420673243,2.25886699315687,0.0424251568218755
"9","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR",NA,"TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1_pseudo_no_2",0.009141,"1","1",18.740335,47.785698,2.93,1.13,2.49,6.99,2.95,2.89,0.2,0.651625393250481,2.18894621977967,2.84057161303015,0.229399389285373
"10","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR",NA,"TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1_pseudo_no_3",0.009141,"1","1",18.740335,47.785698,3.07,0.82,1.78,6.95,3.09,2.3,0.09,0.609741158306615,2.150341742462,2.76008290076862,0.220914074043507
"11","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR",NA,"TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1_pseudo_no_4",0.009141,"1","1",18.740335,47.785698,2.66,0.98,1.8,6.26,2.67,2.68,0.17,0.506981188927652,2.31852281224114,2.82550400116879,0.179430356041943
"12","TS1","LEpigrav","ASH","Nadap","DobosiEtAl1988","AR",NA,"TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_AR_na_1","TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_AR_na_1_pseudo_no_1",0.007102,"1","1",18.577881,47.243813,5.48,1.18,5.01,11.74,5.48,2.24,0.08,0.444982098545889,2.07104096694105,2.51602306548694,0.17685930810804
"13","TS1","LEpigrav","ASH","Nadap","DobosiEtAl1988","AR",NA,"TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_AR_na_1","TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_AR_na_1_pseudo_no_2",0.007102,"1","1",18.577881,47.243813,4.16,0.83,2.44,8.97,4.16,2.1,0.06,0.133367091006669,2.17662715827804,2.30999424928471,0.0577348151615382
"14","TS1","LEpigrav","ASH","Nadap","DobosiEtAl1988","AR",NA,"TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_AR_na_2","TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_AR_na_2_pseudo_no_1",0.008961,"1","1",18.577881,47.243813,6.38,1.33,6.54,13.68,6.38,2.2,0.07,0.223800405922796,2.10232882429051,2.32612923021331,0.0962115100983765
