"","Timeslice","TaxUnit","Region","Site","ShortImageRef","ToolClass","KnappingDirection","IMAGE","ARTEFACTNAME","SCALE","Timeslice_range_from","Timeslice_range_to","Long","Lat","length_cm","width_cm","area_cm2","perimeter_cm","calliper_cm","circularity","eccentricityeigen","AD","BC","amp","sym"
"1","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","BR",NA,"TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_BR_na_1","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_BR_na_1_pseudo_no_1",0.016234,"1","1",18.740335,47.785698,4.92,1.59,4.98,10.9,4.92,2.5,0.13,0.42468019387309,2.26685926568978,2.69153945956287,0.157783380200587
"2","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","BR",NA,"TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_BR_na_1","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_BR_na_1_pseudo_no_2",0.016234,"1","1",18.740335,47.785698,4.76,1.58,5.92,10.75,4.76,2.83,0.18,0.372119085233492,2.17876246182542,2.55088154705891,0.145878622103223
"3","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","BR",NA,"TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_BR_na_1","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_BR_na_1_pseudo_no_3",0.016234,"1","1",18.740335,47.785698,4.73,2.33,7.56,11.61,4.74,3.41,0.28,0.284699881548368,2.36098861937909,2.64568850092746,0.107608995332809
"4","TS23","AzilTECE","ASH","Seewaende","Gehlen2001","BR",NA,"TS23_AzilTECE_ASH_Seewaende_Gehlen2001_BR_na_1","TS23_AzilTECE_ASH_Seewaende_Gehlen2001_BR_na_1_pseudo_no_1",0.00299,"2","3",10.592923,47.571749,1.29,0.27,0.28,2.85,1.29,2.11,0.07,0.371250332406512,2.08061010098089,2.4518604333874,0.151415768757117
"5","TS24","AzilTECE","ASH","Kamegg","Schwarz2007","BR",NA,"TS24_AzilTECE_ASH_Kamegg_Schwarz2007_BR_na_1","TS24_AzilTECE_ASH_Kamegg_Schwarz2007_BR_na_1_pseudo_no_1",0.006896,"2","4",15.65832,48.61153,2.98,1.58,3.38,7.56,3.01,4.12,0.33,0.76805541127431,2.19712550185897,2.96518091313328,0.259024806166957
"6","TS34","LPal","ASH","Szeksard","PalankVertes1962","BR",NA,"TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_1","TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_1_pseudo_no_1",0.006281,"3","4",18.703889,46.355833,1.78,0.74,0.99,4.42,1.82,2.94,0.22,0.988717176268819,2.03007480513495,3.01879198140377,0.32752080380479
"7","TS34","LPal","ASH","Szeksard","PalankVertes1962","BR",NA,"TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2","TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2_pseudo_no_1",0.017793,"3","4",18.703889,46.355833,2.01,1.44,1.99,5.45,2.03,7.09,0.58,0.834908241848686,2.17886370195405,3.01377194380274,0.27703099551561
"8","TS34","LPal","ASH","Szeksard","PalankVertes1962","BR",NA,"TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2","TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2_pseudo_no_2",0.017793,"3","4",18.703889,46.355833,2.02,1.1,1.49,4.99,2.02,4.27,0.36,0.722302590904023,2.26169442124387,2.98399701214789,0.242058751387324
"9","TS34","LPal","ASH","Szeksard","PalankVertes1962","BR",NA,"TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2","TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2_pseudo_no_3",0.017793,"3","4",18.703889,46.355833,2.09,1.42,1.98,5.45,2.09,7.11,0.57,1.01897614168316,2.14652351728339,3.16549965896655,0.321900569092409
"10","TS34","LPal","ASH","Szeksard","PalankVertes1962","BR",NA,"TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2","TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2_pseudo_no_4",0.017793,"3","4",18.703889,46.355833,1.24,1.06,1.09,3.85,1.34,13.9,0.82,0.951238725889143,2.00217042889092,2.95340915478007,0.322081593181754
