Site_ID_discrete,Long,Lat
Unken,12.730152,47.644134
Elsbethen,13.086104,47.763351
Gamssulzen,14.295717,47.679817
Seewaende,10.592923,47.571749
Altwasser,9.476824,47.282723
Kamegg,15.65832,48.61153
Galgenberg,15.67763,48.66015
Zoeld,18.984693,47.622886
Esztergom,18.740335,47.785698
Nadap,18.577881,47.243813
Szeksard,18.703889,46.355833
Orp,4.97,50.69
Eyserheide,5.93,50.84
BoisLaiterie,4.86,50.36
TroudeChaleux,4.95,50.22
Rekem,5.69,50.91
DoelB,4.15,51.17
MeerII,4.74,51.45
MilheezeHutseberg1,5.81,51.51
MilheezeHutseberg2,5.81,51.51
WestelbeersZW,5.21,51.44
ZonhovenMolenheide,5.42,51
Remouchamps,5.71,50.48
GeldropMiePeels,5.56,51.41
Geldrop32Oost,5.56,51.41
EerselPanberg,5.28,51.34
Hostim,14.116111,49.954444
Pekarna,16.746111,49.241944
Lostice,16.922777,49.728888
Kulna6,16.737777,49.408333
Kulna4,16.737777,49.408333
Lhota1,14.0819444,49.258333
Komorany,13.5788,50.53421
Tisnov,16.403888,49.359444
Voletiny,15.9475,50.579722
Pilsen,13.381666,49.7625
Kulna3,16.737777,49.408333
Kasetos1,24.59,54.08
MargiaiIsland,24.69,54.03
Maksimonys1,24.16,54.16
Ezerynas11,23.95,54.19
Parupe1,24.76,56.4
Maskauka6,24.63,54.29
Mergezeris8,24.5,54.19
Ezerynas9u16u17,23.97,54.2
Silelis2,23.75,54.93
Aukstumala,21.41,55.38
Kabeliai2,24.3,53.98
Pasieniai1,25.14,54.68
Mergezeris3,24.49,54.19
Sudota2,25.97,55.12
RiparoTaglientelayer10,11.00564,45.54057
VillabrunaLayers17u16,11.76475,46.08463
Villabrunalayers17u16,11.76475,46.08463
GrottaClusantin,12.88669,46.24509
RiparoDalmeripossiblylayer15,11.6021,45.99347
Biarzolayer5,13.48456,46.14387
RiparoDalmeriUpperlayers,11.6021,45.99347
LaCogolaSU19,11.22979,45.9322
PaluEchen,11.19577,45.91224
LaCogolaSU18,11.22979,45.9322
RomagnanoLocIIIlayerAE,11.10611,46.00724
Weitsche,11.1265,53.0275
Poggenwisch,10.203,53.64
Wehlen,14.001,50.964
AhrenshoeftLA58a,9.069,54.559
AhrenshoeftLA58d,9.069,54.559
DuvenseeWP8,10.545,53.699
Friesack27a,12.453,52.751
Stellmoor,10.216,53.647
Burow1,13.098,53.114
Rissen14,9.7702,53.5931
Rissen14a,9.7702,53.5931
Meiendorf,10.176,53.626
Sassenholz82,9.311,53.35
Sassenholz78,9.311,53.35
HelgaAbri,9.75384,48.378886
ZigeunerfelsF,9.159282,48.087509
ZigeunerfelsFG,9.159282,48.087509
Felsstalle,9.651667,48.281944
AbriSchweizersbild,8.640156,47.723933
HauteriveChampreveyres,6.971148,47.007249
NeuchateMonruz,6.960661,47.003517
AbriNeumuhle,7.327545,47.43983
GrottedeBichon,6.849723,47.149998
ZigeunerfelsDE,9.159282,48.087509
FursteinerSeeberg,7.660151,47.165601
AbriWachtfels,7.571189,47.439615
BadBuchauKappel,9.594835,48.06538
AtzenhofFurth,10.955379,49.50823
Altenberg,10.979523,49.442852
JagerhaushohleSchicht13,8.96594,48.031201
HaspelmoorHattenhofen,11.115115,48.216607
Janet3,7.064902,47.012282
AbriVionnaz1,6.90619,46.295675
AbriVionnaz2,6.90619,46.295675
PontdAmbon,0.5383,45.3012
PtdAmbon,0.5383,45.3012
Murat,1.5705,44.8039
BoisRagotniv4,0.4156,46.2307
BoisRagot,0.4156,46.2307
Imperatrice,-4.375583,48.389083
Malaurie,1.5719,44.8033
PortdePenne,0.8045,44.3952
PortdePennerecent,0.8045,44.3952
PtdAmbonc3,0.5383,45.3012
LesPrises,0.2726,45.4804
BoisRagotniv3,0.4156,46.2307
Chaloignes,0.3326,47.2306
Peyrazet,1.6108,44.9017
CuzedeSainteAnastasie,2.9765,45.1637
LaFosse,0.4221,47.5602
Auvours,0.2202,48.0022
BoisRagotniv5,0.4156,46.2307
Klementowice20,22.14915706,51.34101435
Cmielow95,21.53464797,50.8828356
Wierzawice31,22.46240085,50.22233587
Wilczyce10,21.65624781,50.74282216
RydnoII59,20.94926388,51.1154089
Liny1,15.8445360081,52.1131769036
Mirkowice33,17.4056351347,52.7735220745
Olbrachcice8,16.37515918,51.77589052
RydnocutI88,20.94926388,51.1154089
RydnocutI90,20.94926388,51.1154089
RydnocutII89,20.94926388,51.1154089
RydnocutI89,20.94926388,51.1154089
RydnocutIII90N,20.94926388,51.1154089
RydnocutIII90S,20.94926388,51.1154089
RydnocutII90,20.94926388,51.1154089
CalowanielevelIIICutVII,21.34038387,52.01297944
CalowanielevelIIICutX,21.34038387,52.01297944
CalowanielevelIIICutXII,21.34038387,52.01297944
CalowanielevelIIICutXIII,21.34038387,52.01297944
Lubrza42,15.45686694,52.31635442
NowaBiala1,20.12488947,49.42907421
Rotnowo18ll,15.30020125,53.88613193
RydnoSaharacutI1976,20.94926388,51.1154089
RydnoSaharacutII1976,20.94926388,51.1154089
SromowceNizne1,20.40763154,49.40255084
CalowanielevelIVcutVII,21.34038386,52.01297943
CalowanielevelIVcutIXW,21.34038387,52.01297944
CalowanielevelIVcutIXE,21.34038387,52.01297944
CalowanielevelIVcutXIC,21.34038387,52.01297944
CalowanielevelIVcutXIE,21.34038387,52.01297944
Witow5Cassemblage1,19.51750195,52.01168707
Witow5Cassemblage2,19.51750195,52.01168707
Witow5Cassemblage3,19.51750195,52.01168707
Witow5Cassemblage4,19.51750195,52.01168707
Jaglisko1,15.69342652,53.02040886
Jaglisko3,15.69342652,53.02040886
Jaglisko3a,15.69342652,53.02040886
Legi10,14.37603559,53.52254781
Rotnowo18,15.30020125,53.88613193
RydnoPastwiskocutIV1960,20.94926388,51.1154089
RydnoPastwiskocutXI1961,20.94926388,51.1154089
SzczecinBukowo1,14.55695654,53.49463403
BohateryLesne2,23.52085988,53.7964726
CalowanielayerIVaCutXIII,21.34038387,52.01297944
Wolkusz5wsadzie,23.51948461,53.80865003
Burdeniszki1de,23.12897814,54.07712989
Burdeniszki4,23.12897814,54.07712989
Burdeniszki4a,23.12897814,54.07712989
CalowanielayerVCutIX,23.12897815,54.0771299
CalowanielayerVCutXI,21.34038387,52.01297944
RydnoPastwiskocutVII1960,20.94926388,51.1154089
RydnoSaharacutV1977,20.94926388,51.1154089
Wolkusz3,23.51948461,53.80865003
Wolkusz5SzL,23.51948461,53.80865003
Bolkow1,14.35293003,53.55252203
CalowanielevelVIcutV,21.34038387,52.01297944
Kocierz3assemblage1,15.27559641,53.84055827
Kocierz3assemblage2,15.27559641,53.84055827
KrakowBiezanow20assemblage1,20.05143359,50.00658158
KrakowBiezanow15assemblage1,20.05143359,50.00658158
CalowanielevelVIcutI,21.34038387,52.01297944
CalowanielevelVIcutIIIW,21.34038387,52.01297944
CalowanielevelVIcutIIIC,21.34038387,52.01297944
CalowanielevelVIcutIIIE,21.34038387,52.01297944
Lykowe1,18.76114934,51.20069038
RydnoMichPiascutI1996,20.94926388,51.1154089
RydnoPastwiskocutIV1957,20.94926388,51.1154089
RydnoSandrocutI1957,20.94926388,51.1154089
Cichmiana2,18.7940049909,52.087738361
Kochlew1,18.78315089,51.20428414
PrzeginiaNarodowa1,19.64823677,50.00930445
Szczerba14,22.9762338331,53.9036126148
WojnowoAcutI75,15.78867954,52.1066325
WojnowoAcutIII5,15.78867954,52.1066325
WojnowoAcutIII75,15.78867954,52.1066325
KrakowBiezanow15assemblage3,20.05143359,50.00658158
Zagacie2,19.704088,50.000066
RydnocytXI1959,20.94926388,51.1154089
RydnocutII1956,20.94926388,51.1154089
Lubon,16.8983886,52.3339493
PludyA,20.98999833,52.33414972
SwidryWielkieII,21.22248613,52.10089341
TokaryRabiez,19.73176665,52.49700557
Rascanolevel2,-3.7001,43.2971
SantimamineSlnc,-2.6371000000000002,43.3453
AntonKobaVIII,-2.41147,42.99996
LosAzules3,-4.94124,43.38246
LosAzulesUnit3,-4.94124,43.38246
BalmaMarginedaUnit7sup,1.52794,42.48281
Perro2,-3.43338,43.45226
ParcoII,0.95454,41.92119
Forcas,0.34015,42.17901
Forcaslevel14,0.34015,42.17901
HortdelaBoquera,0.7561,41.2896
Roureda,-0.23087,40.42109
CingledelAigua,0.15444,40.5285
Pena14,-0.93779,42.37476
Filador4,0.7638,41.27745
AtxosteVIb,-2.4731,42.7575
LapadosCoelhos4,-8.6154,39.5046
LapadosCoelhos3,-8.6154,39.5046
LapadosCoelhosUS3,-8.6154,39.5046
Fariseu4,-7.1088,41.0411
FariseuSU4,-7.1088,41.0411
FariseuUS4,-7.1088,41.0411
Bocas0,-8.96948173471,39.3457355218
Jels1,9.24,55.38
Jels2,9.24,55.38
Jels3,9.22,55.36
Soelbjerg2,11.1,54.76
SlotsengC,9.27,55.33
Slotseng,9.27,55.33
Langaa,9.9,56.4
Lovenholm,10.49,56.45
Rundebakke,11.75,55.06
SlotsengB,9.26,55.33
HasseloeTvaervej,11.88,54.73
StoksbjergVest,11.89,55.28
StoksbjergVestI,11.89,55.28
StoksbjergVestIV,11.89,55.28
Bromme,11.5,55.49
Bro1,9.98,55.53
Bro2,9.98,55.53
Skovmosen,12.54,55.77
Trollesgave,11.81,55.28
Eskebjerg,11.7,55.07
Soelbjerg,11.09,54.76
Barmosen1,11.89,55.05
Klosterlund,9.35,56.19
Aarup,14.47,56.05
Aarup1,14.47,56.05
Aarup2,14.47,56.05
NorregaardVI,9.24,55.47
SyltholmVII,11.39,54.65
Drave611,8.98,55.02
FensmarkB,11.79,55.29
Segebro,13,56
LeCloseauLL,2.158193,48.869548
LeCloseauLocus4,2.158193,48.869548
LaFru,5.80425913714544,45.4433931581582
LeCloseauLocus14,2.158193,48.869548
LeCloseauLocus20,2.158193,48.869548
LeCloseauLocus26,2.158193,48.869548
LeCloseauLocus34,2.158193,48.869548
LeCloseauLocus36,2.158193,48.869548
Calleville,0.780852656281644,49.2045105401912
Alizay,1.16366918862756,49.3158939921655
LesTarterets2,2.46700755794748,48.6170320840735
Douattes,5.96505326434852,46.0082992101995
EtiollesQ31,2.46553869365135,48.6331090800784
SunHole,-2.764321,51.283486
GoughsCave,-2.765884,51.2819
ThreeHolesCave,-3.667295,50.49312
RobinHoodCave,-1.184218,53.261729
RobinHoodsCave,-1.184218,53.261729
MotherGrundysParlour,-1.196651,53.262352
KentsCavern,-3.501791,50.467148
WeyManorFarm,-0.477553,51.357732
BradgatePark,-1.220094,52.686164
HengistburyHead,-1.754574,50.714135
NeaFarm,-3.501791,50.467148
BrockHill,-0.586092,51.328254
Howburn,-3.476484,55.679912
PixiesHole,-3.604429,50.596516
PinHoleCave,-1.196651,53.262352
SymondsYat,-2.640125,51.835918
RookeryFarm,0.248649,52.187681
KilmelfortCave,-5.470919,56.257799
TheeWaysWharf,-0.483934,51.55055
TheeWaysWharfA,-0.483934,51.55055
TheeWaysWharfC,-0.483934,51.55055
ThreeWaysWharfCEast,-0.483934,51.55055
ThreeWaysWharfCWest,-0.483934,51.55055
Sproughton,1.101723,52.049575
AvingtonVI,-1.220094,52.686164
Launde,-0.825879,52.630281
SeamerCarrK,-0.464825,54.233172
TireePoint,-6.906966,56.493236
StarCarr,-0.42348,54.214287
