"","Timeslice","TaxUnit","Region","Site","ShortImageRef","ToolClass","KnappingDirection","IMAGE","ARTEFACTNAME","SCALE","Timeslice_range_from","Timeslice_range_to","Long","Lat","length_cm","width_cm","area_cm2","perimeter_cm","calliper_cm","circularity","eccentricityeigen","AD","BC","amp","sym"
"1","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR","D","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_1","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_1_pseudo_no_1",0.013158,"1","1",18.740335,47.785698,11.42,2.36,15.94,24.25,11.42,2,0.05,0.168305467384853,2.13253846628445,2.3008439336693,0.0731494496093203
"2","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR","D","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_1",0.013966,"1","1",18.740335,47.785698,6.23,1.56,6.88,13.55,6.23,2.33,0.09,0.502923738123168,2.12202236132677,2.62494609944994,0.191593929577661
"3","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR","D","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_2",0.013966,"1","1",18.740335,47.785698,6.36,1.15,5.86,13.85,6.36,2.08,0.06,0.448359454818418,2.01600442578072,2.46436388059914,0.181937196186065
"4","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR","D","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_3",0.013966,"1","1",18.740335,47.785698,5.53,1.64,7.25,12.72,5.53,2.51,0.13,0.210061563029961,2.18335115792076,2.39341272095072,0.0877665440612012
"5","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR","D","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_4",0.013966,"1","1",18.740335,47.785698,3.97,0.87,2.11,8.59,3.97,2.03,0.05,0.244693495013161,2.13338328803123,2.3780767830444,0.102895540109477
"6","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR","D","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_5",0.013966,"1","1",18.740335,47.785698,2.51,1.11,2.32,6.4,2.52,3.27,0.26,0.514820399596237,2.17065111624238,2.68547151583862,0.191705775525781
"7","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR","D","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_6",0.013966,"1","1",18.740335,47.785698,2.2,0.8,1.4,5.47,2.2,2.79,0.18,0.953950840900877,2.08456892250178,3.03851976340265,0.313952488442137
"8","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR",NA,"TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1_pseudo_no_1",0.009141,"1","1",18.740335,47.785698,6.7,1.47,7.41,14.6,6.71,2.23,0.08,0.0958327864244387,2.16303420673243,2.25886699315687,0.0424251568218755
"9","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR",NA,"TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1_pseudo_no_2",0.009141,"1","1",18.740335,47.785698,2.93,1.13,2.49,6.99,2.95,2.89,0.2,0.645104984129868,2.1922348227734,2.83733980690327,0.227362610061834
"10","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR",NA,"TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1_pseudo_no_3",0.009141,"1","1",18.740335,47.785698,3.07,0.82,1.78,6.95,3.09,2.3,0.09,0.620855217383483,2.14580446600917,2.76665968339265,0.224406066676821
"11","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","AR",NA,"TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1_pseudo_no_4",0.009141,"1","1",18.740335,47.785698,2.66,0.98,1.8,6.26,2.67,2.68,0.17,0.521521984806143,2.31406092085257,2.83558290565871,0.183920556075222
"12","TS1","LEpigrav","ASH","Nadap","DobosiEtAl1988","AR",NA,"TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_AR_na_1","TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_AR_na_1_pseudo_no_1",0.007102,"1","1",18.577881,47.243813,5.49,1.18,5.01,11.74,5.49,2.24,0.08,0.439273408438169,2.07252381850405,2.51179722694222,0.174884104388046
"13","TS1","LEpigrav","ASH","Nadap","DobosiEtAl1988","AR",NA,"TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_AR_na_1","TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_AR_na_1_pseudo_no_2",0.007102,"1","1",18.577881,47.243813,4.15,0.83,2.44,8.97,4.16,2.1,0.06,0.129563680723172,2.17714691684372,2.30671059756689,0.0561681560139514
"14","TS1","LEpigrav","ASH","Nadap","DobosiEtAl1988","AR",NA,"TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_AR_na_2","TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_AR_na_2_pseudo_no_1",0.008961,"1","1",18.577881,47.243813,6.38,1.33,6.54,13.68,6.38,2.2,0.07,0.214797611753791,2.1048084990122,2.31960611076599,0.0926008992461479
