Timeslice,TaxUnit,Region,Site,ShortImageRef,ToolClass,KnappingDirection,IMAGE,ARTEFACTNAME,SCALE,Timeslice_range_from,Timeslice_range_to,Long,Lat,Timeslice_discrete,Timeslice_discrete_roman,Timeslice_discrete_counts,Region_counts
TS1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,D,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_1,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_1_pseudo_no_1,0.013158,1,1,18.740335,47.785698,TS1,I,"I
(n=867)","ASH
(n=195)"
TS1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,D,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_1,0.013966,1,1,18.740335,47.785698,TS1,I,"I
(n=867)","ASH
(n=195)"
TS1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,D,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_2,0.013966,1,1,18.740335,47.785698,TS1,I,"I
(n=867)","ASH
(n=195)"
TS1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,D,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_3,0.013966,1,1,18.740335,47.785698,TS1,I,"I
(n=867)","ASH
(n=195)"
TS1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,D,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_4,0.013966,1,1,18.740335,47.785698,TS1,I,"I
(n=867)","ASH
(n=195)"
TS1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,D,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_5,0.013966,1,1,18.740335,47.785698,TS1,I,"I
(n=867)","ASH
(n=195)"
TS1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,D,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_6,0.013966,1,1,18.740335,47.785698,TS1,I,"I
(n=867)","ASH
(n=195)"
TS1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,NA,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1_pseudo_no_1,0.009141,1,1,18.740335,47.785698,TS1,I,"I
(n=867)","ASH
(n=195)"
TS1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,NA,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1_pseudo_no_2,0.009141,1,1,18.740335,47.785698,TS1,I,"I
(n=867)","ASH
(n=195)"
TS1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,NA,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1_pseudo_no_3,0.009141,1,1,18.740335,47.785698,TS1,I,"I
(n=867)","ASH
(n=195)"
