Timeslice,TaxUnit,Region,Site,ShortImageRef,ToolClass,KnappingDirection,IMAGE,ARTEFACTNAME,SCALE,Timeslice_range_from,Timeslice_range_to,Long,Lat,Timeslice_discrete,Timeslice_discrete_roman,Timeslice_discrete_counts,Region_counts
TS1,LEpigrav,ASH,Esztergom,Lengyel20082009,BR,NA,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_BR_na_1,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_BR_na_1_pseudo_no_1,0.016234,1,1,18.740335,47.785698,TS1,I,"I
(n=364)","ASH
(n=24)"
TS1,LEpigrav,ASH,Esztergom,Lengyel20082009,BR,NA,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_BR_na_1,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_BR_na_1_pseudo_no_2,0.016234,1,1,18.740335,47.785698,TS1,I,"I
(n=364)","ASH
(n=24)"
TS1,LEpigrav,ASH,Esztergom,Lengyel20082009,BR,NA,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_BR_na_1,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_BR_na_1_pseudo_no_3,0.016234,1,1,18.740335,47.785698,TS1,I,"I
(n=364)","ASH
(n=24)"
TS23,AzilTECE,ASH,Seewaende,Gehlen2001,BR,NA,TS23_AzilTECE_ASH_Seewaende_Gehlen2001_BR_na_1,TS23_AzilTECE_ASH_Seewaende_Gehlen2001_BR_na_1_pseudo_no_1,0.00299,2,3,10.592923,47.571749,TS2,II,"II
(n=138)","ASH
(n=24)"
TS23,AzilTECE,ASH,Seewaende,Gehlen2001,BR,NA,TS23_AzilTECE_ASH_Seewaende_Gehlen2001_BR_na_1,TS23_AzilTECE_ASH_Seewaende_Gehlen2001_BR_na_1_pseudo_no_1,0.00299,2,3,10.592923,47.571749,TS3,III,"III
(n=60)","ASH
(n=24)"
TS24,AzilTECE,ASH,Kamegg,Schwarz2007,BR,NA,TS24_AzilTECE_ASH_Kamegg_Schwarz2007_BR_na_1,TS24_AzilTECE_ASH_Kamegg_Schwarz2007_BR_na_1_pseudo_no_1,0.006896,2,4,15.65832,48.61153,TS2,II,"II
(n=138)","ASH
(n=24)"
TS24,AzilTECE,ASH,Kamegg,Schwarz2007,BR,NA,TS24_AzilTECE_ASH_Kamegg_Schwarz2007_BR_na_1,TS24_AzilTECE_ASH_Kamegg_Schwarz2007_BR_na_1_pseudo_no_1,0.006896,2,4,15.65832,48.61153,TS3,III,"III
(n=60)","ASH
(n=24)"
TS24,AzilTECE,ASH,Kamegg,Schwarz2007,BR,NA,TS24_AzilTECE_ASH_Kamegg_Schwarz2007_BR_na_1,TS24_AzilTECE_ASH_Kamegg_Schwarz2007_BR_na_1_pseudo_no_1,0.006896,2,4,15.65832,48.61153,TS4,IV,"IV
(n=42)","ASH
(n=24)"
TS34,LPal,ASH,Szeksard,PalankVertes1962,BR,NA,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_1,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_1_pseudo_no_1,0.006281,3,4,18.703889,46.355833,TS3,III,"III
(n=60)","ASH
(n=24)"
TS34,LPal,ASH,Szeksard,PalankVertes1962,BR,NA,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_1,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_1_pseudo_no_1,0.006281,3,4,18.703889,46.355833,TS4,IV,"IV
(n=42)","ASH
(n=24)"
TS34,LPal,ASH,Szeksard,PalankVertes1962,BR,NA,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2_pseudo_no_1,0.017793,3,4,18.703889,46.355833,TS3,III,"III
(n=60)","ASH
(n=24)"
TS34,LPal,ASH,Szeksard,PalankVertes1962,BR,NA,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2_pseudo_no_1,0.017793,3,4,18.703889,46.355833,TS4,IV,"IV
(n=42)","ASH
(n=24)"
TS34,LPal,ASH,Szeksard,PalankVertes1962,BR,NA,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2_pseudo_no_2,0.017793,3,4,18.703889,46.355833,TS3,III,"III
(n=60)","ASH
(n=24)"
TS34,LPal,ASH,Szeksard,PalankVertes1962,BR,NA,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2_pseudo_no_2,0.017793,3,4,18.703889,46.355833,TS4,IV,"IV
(n=42)","ASH
(n=24)"
TS34,LPal,ASH,Szeksard,PalankVertes1962,BR,NA,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2_pseudo_no_3,0.017793,3,4,18.703889,46.355833,TS3,III,"III
(n=60)","ASH
(n=24)"
TS34,LPal,ASH,Szeksard,PalankVertes1962,BR,NA,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2_pseudo_no_3,0.017793,3,4,18.703889,46.355833,TS4,IV,"IV
(n=42)","ASH
(n=24)"
TS34,LPal,ASH,Szeksard,PalankVertes1962,BR,NA,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2_pseudo_no_4,0.017793,3,4,18.703889,46.355833,TS3,III,"III
(n=60)","ASH
(n=24)"
TS34,LPal,ASH,Szeksard,PalankVertes1962,BR,NA,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_2_pseudo_no_4,0.017793,3,4,18.703889,46.355833,TS4,IV,"IV
(n=42)","ASH
(n=24)"
TS34,LPal,ASH,Szeksard,PalankVertes1962,BR,NA,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_3,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_3_pseudo_no_1,0.005675,3,4,18.703889,46.355833,TS3,III,"III
(n=60)","ASH
(n=24)"
TS34,LPal,ASH,Szeksard,PalankVertes1962,BR,NA,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_3,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_3_pseudo_no_1,0.005675,3,4,18.703889,46.355833,TS4,IV,"IV
(n=42)","ASH
(n=24)"
TS34,LPal,ASH,Szeksard,PalankVertes1962,BR,NA,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_3,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_3_pseudo_no_2,0.005675,3,4,18.703889,46.355833,TS3,III,"III
(n=60)","ASH
(n=24)"
TS34,LPal,ASH,Szeksard,PalankVertes1962,BR,NA,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_3,TS34_LPal_ASH_Szeksard_PalankVertes1962_BR_na_3_pseudo_no_2,0.005675,3,4,18.703889,46.355833,TS4,IV,"IV
(n=42)","ASH
(n=24)"
