"","Timeslice","TaxUnit","Region","Site","ShortImageRef","ToolClass","KnappingDirection","IMAGE","ARTEFACTNAME","SCALE","Timeslice_range_from","Timeslice_range_to","Long","Lat","length_cm","width_cm","area_cm2","perimeter_cm","calliper_cm","circularity","eccentricityeigen","AD","BC","amp","sym"
"1","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","ES",NA,"TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_ES_na_1","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_ES_na_1_pseudo_no_1",0.013055,"1","1",18.740335,47.785698,3.06,1.14,2.76,7.48,3.1,2.92,0.2,0.327249690852477,2.25723661370471,2.58448630455719,0.126620787378692
"2","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","ES",NA,"TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_ES_na_1","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_ES_na_1_pseudo_no_2",0.013055,"1","1",18.740335,47.785698,2.88,0.95,2.26,6.82,2.89,2.7,0.17,0.201012489778986,2.27543712836803,2.47644961814702,0.0811696261882329
"3","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","ES",NA,"TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_ES_na_1","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_ES_na_1_pseudo_no_3",0.013055,"1","1",18.740335,47.785698,3.03,1.98,4.75,8.51,3.16,5.69,0.5,0.34521686709701,2.34249483898361,2.68771170608062,0.128442669768487
"4","TS1","LEpigrav","ASH","Esztergom","Lengyel20082009","ES",NA,"TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_ES_na_1","TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_ES_na_1_pseudo_no_4",0.013055,"1","1",18.740335,47.785698,4.55,3.24,9.22,11.85,4.55,6.12,0.52,0.425694310369466,2.27082114719719,2.69651545756666,0.157868299688374
"5","TS1","LEpigrav","ASH","Nadap","DobosiEtAl1988","ES",NA,"TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_ES_na_1","TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_ES_na_1_pseudo_no_1",0.016447,"1","1",18.577881,47.243813,6.51,3.64,19.07,17.69,6.55,3.97,0.36,0.638195139732789,2.216484038212,2.85467917794479,0.223561072874134
"6","TS1","LEpigrav","ASH","Nadap","DobosiEtAl1988","ES",NA,"TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_ES_na_1","TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_ES_na_1_pseudo_no_2",0.016447,"1","1",18.577881,47.243813,3.58,2.56,7.62,10.36,3.73,7.42,0.61,0.326962409431583,2.19480730634913,2.52176971578072,0.129655934634126
"7","TS1","LEpigrav","ASH","Nadap","DobosiEtAl1988","ES",NA,"TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_ES_na_1","TS01_LEpigrav_ASH_Nadap_DobosiEtAl1988_ES_na_1_pseudo_no_3",0.016447,"1","1",18.577881,47.243813,3.09,2.64,6.62,9.75,3.4,9.05,0.75,0.564590622418797,2.29269144804005,2.85728207045884,0.197597089995434
"8","TS23","AzilTECE","ASH","Seewaende","Gehlen2001","ES",NA,"TS23_AzilTECE_ASH_Seewaende_Gehlen2001_ES_na_1","TS23_AzilTECE_ASH_Seewaende_Gehlen2001_ES_na_1_pseudo_no_1",0.003876,"2","3",10.592923,47.571749,1.73,1.72,2.1,5.4,1.74,22.78,0.97,0.289888897475268,2.19542123626707,2.48531013374234,0.11664093488355
"9","TS24","AzilTECE","ASH","Galgenberg","AntlWieser1986","ES",NA,"TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_1","TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_1_pseudo_no_1",0.009661,"2","4",15.67763,48.66015,4.29,2.17,7.66,10.95,4.29,4.24,0.36,0.274007673340399,2.17140797782985,2.44541565117025,0.112049529579674
"10","TS24","AzilTECE","ASH","Galgenberg","AntlWieser1986","ES",NA,"TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_1","TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_1_pseudo_no_2",0.009661,"2","4",15.67763,48.66015,3.75,1.87,4.86,9.45,3.75,3.45,0.27,0.378277878437473,2.31467197685912,2.69294985529659,0.140469707482099
"11","TS24","AzilTECE","ASH","Galgenberg","AntlWieser1986","ES",NA,"TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_1","TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_1_pseudo_no_3",0.009661,"2","4",15.67763,48.66015,3.64,1.38,4.27,8.8,3.65,3.07,0.22,0.302019733002646,2.19223203574222,2.49425176874486,0.12108630603663
"12","TS24","AzilTECE","ASH","Galgenberg","AntlWieser1986","ES",NA,"TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_1","TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_1_pseudo_no_4",0.009661,"2","4",15.67763,48.66015,1.46,1.26,1.21,4.05,1.47,12.24,0.77,1.08764868716039,1.98804137063422,3.0756900577946,0.35362753291867
"13","TS24","AzilTECE","ASH","Galgenberg","AntlWieser1986","ES",NA,"TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_1","TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_1_pseudo_no_5",0.009661,"2","4",15.67763,48.66015,2.04,1.03,1.62,5,2.04,4.17,0.34,0.4836193043365,2.18146385165797,2.66508315599447,0.181464996035382
"14","TS24","AzilTECE","ASH","Galgenberg","AntlWieser1986","ES",NA,"TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_2","TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_2_pseudo_no_1",0.014597,"2","4",15.67763,48.66015,2.26,1,1.85,5.64,2.28,3.35,0.27,0.611951471990167,2.15139365121079,2.76334512320096,0.221453146352311
"15","TS24","AzilTECE","ASH","Galgenberg","AntlWieser1986","ES",NA,"TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_2","TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_2_pseudo_no_2",0.014597,"2","4",15.67763,48.66015,3.04,1.2,2.8,7.26,3.05,2.91,0.21,0.30688918548332,2.21371410092794,2.52060328641126,0.121752275392871
"16","TS24","AzilTECE","ASH","Galgenberg","AntlWieser1986","ES",NA,"TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_2","TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_2_pseudo_no_3",0.014597,"2","4",15.67763,48.66015,2.88,1.21,2.9,7.3,2.9,3.14,0.24,0.322414685348802,2.30275188495913,2.62516657030793,0.122816848650858
"17","TS24","AzilTECE","ASH","Galgenberg","AntlWieser1986","ES",NA,"TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_2","TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_2_pseudo_no_4",0.014597,"2","4",15.67763,48.66015,2.45,1.39,2.81,6.61,2.48,4.32,0.4,0.350633167274611,2.26851223778381,2.61914540505842,0.133873120063294
"18","TS24","AzilTECE","ASH","Galgenberg","AntlWieser1986","ES",NA,"TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_2","TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_2_pseudo_no_5",0.014597,"2","4",15.67763,48.66015,2.46,1.27,2.46,6.17,2.47,4.09,0.35,0.357960200456197,2.20391104328427,2.56187124374046,0.139726069891614
"19","TS24","AzilTECE","ASH","Galgenberg","AntlWieser1986","ES",NA,"TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_3","TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_3_pseudo_no_1",0.018515,"2","4",15.67763,48.66015,1.41,1.33,1.42,4.38,1.45,15.96,0.93,0.320378405140881,2.18793939380942,2.50831779895031,0.127726401046532
"20","TS24","AzilTECE","ASH","Galgenberg","AntlWieser1986","ES",NA,"TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_3","TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_3_pseudo_no_10",0.018515,"2","4",15.67763,48.66015,1.92,1.86,2.39,5.81,1.94,9.6,0.89,0.379308249644775,2.26341472058836,2.64272297023314,0.143529327105865
"21","TS24","AzilTECE","ASH","Galgenberg","AntlWieser1986","ES",NA,"TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_3","TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_3_pseudo_no_11",0.018515,"2","4",15.67763,48.66015,2.28,1.76,2.7,6.29,2.29,7.69,0.65,0.515747314951334,2.31705031694778,2.83279763189911,0.182062886929758
"22","TS24","AzilTECE","ASH","Galgenberg","AntlWieser1986","ES",NA,"TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_3","TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_3_pseudo_no_12",0.018515,"2","4",15.67763,48.66015,2.32,2.08,3.47,6.77,2.36,13.5,0.78,0.578646115422097,2.11398296635416,2.69262908177626,0.214900046700966
"23","TS24","AzilTECE","ASH","Galgenberg","AntlWieser1986","ES",NA,"TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_3","TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_3_pseudo_no_13",0.018515,"2","4",15.67763,48.66015,1.94,1.61,2.33,5.54,1.94,14.13,0.76,0.187978787342704,2.17881394510579,2.36679273244849,0.0794234259576403
"24","TS24","AzilTECE","ASH","Galgenberg","AntlWieser1986","ES",NA,"TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_3","TS24_AzilTECE_ASH_Galgenberg_AntlWieser1986_ES_na_3_pseudo_no_14",0.018515,"2","4",15.67763,48.66015,2.07,1.79,2.41,5.96,2.14,8.91,0.77,0.423419867303777,2.29885165483773,2.72227152214151,0.155539175229181
