"KeySite",,"TaxUnit",,"Timeslice","Coordinates",,"Dating","Dating method","Quality of dating","Site type","Site stratification","Assemblage position","Assemblage coherence","Site faunal remains","Year of excavation","Literature","Availability of Armature Outlines",,,,"Availability of Endscraper Outlines",,,,"Availability of Borer Outlines",,,,,,
,,,,,"Long","Lat","BP",,"Select from drop-down menu","Select from drop-down menu","Select from drop-down menu","Select from drop-down menu","Select from drop-down menu","Select from drop-down menu","Select from drop-down menu",,,,,,,,,,,,,,,,
"Key_site","Level_layer_concentration","TaxUnit","TaxUnit_unique","Timeslice","Long","Lat","Dating_BP","Dating_method","Dating_qual","Site_type","Site_strat","Ass_pos","Ass_coh","Site_fau","Site_excav","Key_references","Outline_AR_TS1","Outline_AR_TS2","Outline_AR_TS3","Outline_AR_TS4","Outline_ES_TS1","Outline_ES_TS2","Outline_ES_TS3","Outline_ES_TS4","Outline_BR_TS1","Outline_BR_TS2","Outline_BR_TS3","Outline_BR_TS4","Macro_region","Macro_region_code","Comments"
"Mollehoje",,"Brommean","Brom_SS",3,9.12,56.52,"13,000-12,700","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","1980-2000","Riede and Mork 2011",,,"x",,,,"x",,,,,,"Southern Scandinavia","SS",
"Unken","Dunkle humose Schicht","Aziloid Alps","AzilTSG_ASH",4,12.730152,47.644134,"12,000-9,500","C14","Reliable","Rockshelter","Stratified","Secondary/relocated","Homogeneous","Preseved","1950-1980","Windisch 2014",,,,"x",,,,"x",,,,"x","Austria, Slovakia and Hungary","ASH","Finds are paritially in primary and partially in secondary find position. Position of sample for 14C-date was not documented."
"Elsbethen","Grabung 1: 2 / Grabung 2: 3a, 4a, 5a","Late Magdalenian","LMag_ASH",1,13.086104,47.763351,"15,000-14,000","Typology","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Rettenbacher 1998",,,,,,,,,,,,,"Austria, Slovakia and Hungary","ASH",
"Elsbethen","Grabung 1: 3a / Grabungs 2: 5b-6a","Aziloid Alps","AzilTSG_ASH",2,13.086104,47.763351,"14,000-13,000","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Rettenbacher 1998",,"x",,,,,,,,,,,"Austria, Slovakia and Hungary","ASH",
"Gamssulzenhoehle","Rötlich-braunes Lehmband - ""Kulturschicht""","Aziloid Alps","AzilTSG_ASH",4,14.295717,47.679817,"12,000-11,000","C14","Problematic","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Kühtreiber and Kunst 1995",,,,"x",,,,"x",,,,,"Austria, Slovakia and Hungary","ASH","Radiocarbon-dating via faunal assemblage, not directly affiliated with artefacts."
"Unter den Seewaenden","1 Fundhorizont: Mischung aus Sediment 4 und 7","Aziloid Alps","AzilTSG_ASH","2,3",10.592923,47.571749,"14,000-12,000","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Gehlen 2001",,"x","x",,,"x","x",,,"x","x",,"Austria, Slovakia and Hungary","ASH",
"Altwasserhoehle","OK Schicht C; UK Schicht B","Epigravettiano recente","REpigrav_ASH",4,9.476824,47.282723,"12,000-11,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Jagher et al. 1997",,,,"x",,,,,,,,,"Austria, Slovakia and Hungary","ASH","Site with no cores"
"Kamegg","Verfüllungs Hallstattzeitliche Grube","Aziloid - Tradition Eastern Central Europe","AzilTECE_ASH","2,3,4",15.65832,48.61153,"14,000-11,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Nutz 2006,Schwarz 2007",,"x","x","x",,"x","x","x",,"x","x","x","Austria, Slovakia and Hungary","ASH",
"Horn-Galgenberg","Sandige Verfüllschicht flacher Mulden","Aziloid - Tradition Eastern Central Europe","AzilTECE_ASH","2,3,4",15.67763,48.66015,"14,000-11,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","Before WW2","Antl-Wieser 1986",,"x","x","x",,"x","x","x",,,,,"Austria, Slovakia and Hungary","ASH",
"Zöld Cave","Layer 3","Late Epigravettian","LEpigrav_ASH",1,18.984693,47.622886,"16,000-14,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Beres et al. 2020","x",,,,,,,,,,,,"Austria, Slovakia and Hungary","ASH",
"Esztergom","archaeological layer, reddish-brown - sample from hearth feature","Late Epigravettian","LEpigrav_ASH",1,18.740335,47.785698,"20,000-19,000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Dobosi et al. 1991,Lengyel 2008-2009","(x)",,,,"(x)",,,,"(x)",,,,"Austria, Slovakia and Hungary","ASH",
"Nadap","Cultural layer 7 - sandy slope loess","Late Epigravettian","LEpigrav_ASH",1,18.577881,47.243813,"16,000-15,000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Dobosi et al. 1988,Lengyel 2008-2009","x",,,,"x",,,,,,,,"Austria, Slovakia and Hungary","ASH",
"Stará Ľubovňa – Pod Štokom II","light brown greasy filling (layer 2)","Late Magdalenian","LMag_ASH",1,20.670862,49.316898,"15,000-14,000?","Typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Valde-Nowak et al. 2007",,,,,,,,,,,,,"Austria, Slovakia and Hungary","ASH",
"Szeksârd - Palânk","gelbiche, sandige Löss-Schicht","Late Palaeolithic generic","LPal_ASH","3,4",18.703889,46.355833,"13,000-11,000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Vértes 1962",,,"x","x",,,"x","x",,,"x","x","Austria, Slovakia and Hungary","ASH",
"Orp","EAST and WEST","Magdalenian","Mag_BSN",1,4.97,50.69,"13.7 - 11.8 kyr BP","TL on flint","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Vermeersch 1987 ","x",,,,"x",,,,"x",,,,"Belgium and Southern Netherlands","BSN",
"Eyserheide","clusters A to D","Magdalenian","Mag_BSN",1,5.93,50.84,"na","na",,"Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Rensink 2010 ",,,,,"x",,,,"x",,,,"Belgium and Southern Netherlands","BSN",
"Bois Laiterie cave","strata YSS+BSC","Magdalenian","Mag_BSN",1,4.86,50.36,"12.6 kyr BP","three 14C-dates AMS, dates of 12,660; 12,625; 12665; two on bone, one on antler","Reliable","Cave","Stratified","Secondary/relocated","Homogeneous","Preseved","1980-2000","Otte and Strauss 1997","x",,,,"x",,,,"x",,,,"Belgium and Southern Netherlands","BSN",
"Trou de Chaleux","Otte and older Dupont excavations","Magdalenian","Mag_BSN",1,4.95,50.22,"12.9 - 12.7 kyr BP","5 14C dates (two AMS) four of which in the same time range. ","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Otte 1994","x",,,,"x",,,,"x",,,,"Belgium and Southern Netherlands","BSN",
"Rekem","entire site (16 clusters)","Federmesser","Feder_BSN",2,5.69,50.91,"11,350 BP (OxA-942)","14C - resin","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","De Bie and Caspar 2000 ",,"x",,,,"x",,,,"x",,,"Belgium and Southern Netherlands","BSN",
"Doel B","three vague concentrations","Federmesser","Feder_BSN",2,4.15,51.17,"na","na",,"Openair","Stratified","Primary/insitu","Mixed","No","1980-2000","Perdaen et al. 2004",,"x",,,,,,,,,,,"Belgium and Southern Netherlands","BSN",
"Meer","three concentrations","Federmesser","Feder_BSN",2,4.74,51.45,"na","na",,"Openair","Stratified","Primary/insitu","Mixed","No","1950-1980","Van Noten 1978",,"x",,,,"x",,,,"x",,,"Belgium and Southern Netherlands","BSN",
"Milheeze Hutseberg","two concentrations","Federmesser","Feder_BSN",2,5.81,51.51,"11,150 ± 60","14C cremated bone","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Rozoy 1978,Lauwerier and Deeben 2011",,"x",,,,"x",,,,"x",,,"Belgium and Southern Netherlands","BSN",
"Westelbeers","several concentrations (minimum one but mixed with Early Mesolithic)","Federmesser","Feder_BSN",2,5.21,51.44,"11,510 ± 60; 11,030 ± 45","14C cremated bone","Reliable","Openair","Stratified","Primary/insitu","Mixed","No","1980-2000","Arts and Deeben 1976,Snijders 2000",,"x",,,,"x",,,,,,,"Belgium and Southern Netherlands","BSN",
"Ruien","two concentrations (coeval, cf refitting)","Epi-Ahrensburgian","EpiAhr_BSN",3,3.47,50.77,"10,962 ± 48; ","14C - ash from hearth (there is a second date with different pretreatment but statistically coherent result)","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Crombé et al. 2014",,,,,,,,,,,,,"Belgium and Southern Netherlands","BSN",
"Zonhoven-Molenheide","five concentrations (coeval refitting)","Epi-Ahrensburgian","EpiAhr_BSN",3,5.42,51,"10,760  ± 70","14C-charcoal from concentration (nt from hearth)","Problematic","Openair","Stratified","Primary/insitu","Mixed","No","1980-2000","Vermeersch 2013",,,"x",,,,"x",,,,,,"Belgium and Southern Netherlands","BSN",
"Remouchamps","occupation layer cave site","Epi-Ahrensburgian","EpiAhr_BSN",3,5.71,50.48,"3 dates ranging from 10.8 to 10.3 kyr BP","14C (two AMS) on cutmarked bones","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Dewez 1974",,,"x",,,,"x",,,,"x",,"Belgium and Southern Netherlands","BSN",
"Geldrop Mie Peels","single occupation layer","Epi-Ahrensburgian","EpiAhr_BSN",3,5.56,51.41,"10,610±110 BP","14C on charcoal from charcoal patch","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Deeben and Schreurs 2012",,,"x",,,,"x",,,,,,"Belgium and Southern Netherlands","BSN",
