Key_site,Level_layer_concentration,Site_ID
Komořany,,Komorany
Aarup,1/2,"Aarup,Aarup1,Aarup2"
Abauntz,2r,
Abri des Douattes,"US 20,26,28",Douattes
Abri Neumühle,Obere Schuttschicht (Schicht 1),AbriNeumuhle
Abri Schweizersbild,Untere Fundschicht,AbriSchweizersbild
Abri Vionnaz,Couche 11-9.3,"AbriVionnaz1,AbriVionnaz2"
Abri Wachtfels (Untere Fundschicht),Untere Fundschicht,AbriWachtfels
Abrigo das Bocas,,Bocas0
Abrigo del Perro,Unit 2a,Perro2
Ahrenshöft LA 58 a,,AhrenshoeftLA58a
Ahrenshöft LA 58 d,,AhrenshoeftLA58d
Alizay,single layer,Alizay
"Alt Duvenstedt (LA 85, LA 89)",,
Alt Duvenstedt LA 121,,
Altenberg,n/a,Altenberg
Altwasserhoehle,OK Schicht C; UK Schicht B,Altwasser
Anton Koba,Unit VIII,AntonKobaVIII
Atxoste,h2,
Atxoste,Unit Vib,AtxosteVIb
Aukštumala,,Aukstumala
Aveline's Hole,"outer chamber', northern side, unclear",
Aveline's Hole,"unclear, old excavation",
Avington VI,brown clayey loam horizon,AvingtonVI
Bad Buchau-Kappel,n/a,BadBuchauKappel
Balevullin (Isle of Tiree) ,surface find,TireePoint
Balma de Gai,Unit I.3,
Balma de Guilanya,Unit Ej,
Balma de guilanya,E,
Balma de Guilanya ,K,
Balma Margineda,Units 8-10,
Balma Margineda,Unit 7sup,BalmaMarginedaUnit7sup
Barmose,1,Barmosen1
Bierden 30 & 31,,
Birseck-Ermitage (Obere Fundschicht),Obere Fundschicht,
"Bohatery Lesne 2 ""Biale""",,BohateryLesne2
Bois Laiterie cave,strata YSS+BSC,BoisLaiterie
Bois Ragot (niv.3),,"BoisRagotniv3,BoisRagot"
Bois Ragot (niv.4),,"BoisRagotniv4,BoisRagot"
Bois Ragot (niv.5),,"BoisRagotniv5,BoisRagot"
Bolkow 1,,Bolkow1
Bradgate Park Estate,uniform open-air site,BradgatePark
Bro,,"Bro1,Bro2 "
Brockhill,ploughed out uniform scatter,BrockHill
Broken Cavern,stratified,
Bromme,,Bromme
Burdeniszki 1 d-e,,Burdeniszki1de
Burdeniszki 4,,Burdeniszki4
Burdeniszki 4a,,Burdeniszki4a
Burow 1,,Burow1
Calleville,single layer,Calleville
Calowanie,level III cut VII,CalowanielevelIIICutVII
Calowanie,level III cut X,CalowanielevelIIICutX
Calowanie,level III cut XII,CalowanielevelIIICutXII
Calowanie,level III cut XIII,CalowanielevelIIICutXIII
Calowanie,level IVb cut VII,CalowanielevelIVcutVII
Calowanie,level IVb cut IX West,CalowanielevelIVcutIXW
Calowanie,level IVb cut IX East,CalowanielevelIVcutIXE
Calowanie,level IVb cut XI East,CalowanielevelIVcutXIE
Calowanie,trench 19,
Calowanie,level VI cut I,CalowanielevelVIcutI
Calowanie,level VI cut III West,CalowanielevelVIcutIIIW
Calowanie,level VI cut III Center,CalowanielevelVIcutIIIC
Calowanie,level VI cut III East,CalowanielevelVIcutIIIE
Całowanie,level VI cut V,CalowanielevelVIcutV
Calowanie ,level IVb cut XI North,
Calowanie ,level IVb cut XI Center,CalowanielevelIVcutXIC
Calowanie ,level IVa,CalowanielayerIVaCutXIII
Calowanie level V,cut IX,CalowanielayerVCutIX
Calowanie level V,cut XI,CalowanielayerVCutXI
Cendres,Unit IX,
Chaves,Niveles 2b y 1c,
Church Hole Cave,unstratified assemblage,
Church Lammas,scatters 1 and 2,
Cichmiana 2,assemblage 1,Cichmiana2
Cingle de l'Aigua,Unit II ,CingledelAigua
"Cmielow 95 ""Mały Gawroniec""",,Cmielow95
Colbricon 9,,
Cova dels Blaus,Uniy IVC-ly1-3,
Cuze de Sainte Anastasie,,CuzedeSainteAnastasie
Doel B,three vague concentrations,DoelB
Draved,611,Drave611
Duvensee WP8,,DuvenseeWP8
Dvaergebakke,,
Eersel-Panberg,single find layer,EerselPanberg
EgtvedMark,,
Ekain,Ivbase/V,
El Horno,Level 2,
